text,rt_count, fav_count
Your kids are ashamed of their dad…  Sorry for speaking about kids…  but could you imagine if you were Bob Ezrin’s kids…,9554,19837
Do something relevant… Please don’t speak on me bro ever again!!!,15992,24920
I’m tired of old people that have no connection with anything trying to comment on music!,15435,27927
What the fuck does he know about rap…,9808,20623
Has anybody ever heard of Bob Ezrin???,8242,17937
If you are an entrepreneur you may have debt and lawsuits #facts,13509,34584
new song with my brothers French Montana and Nas https://t.co/yFmyJW4zD6 https://t.co/BWHFcPfkwT,27093,51685
My Heart https://t.co/Yt11QcelpN,54584,174945
Loving this mood for SEASON 4 https://t.co/HIq32PbMoc,10343,40942
Feels good to be home https://t.co/rhKN9xaC1F,5472,23459
Drake would come by and just help, no strings. Future also came by to write. We all got new shit together that's gonna drop soon.,95070,146864
I wanna thank my brother Drizzy for helping me on 30 Hours &amp; Father Stretch My Hands.,43466,94194
Season 4 begins. Première Vision https://t.co/LAlvRnlUgG,7795,26281
My number one enemy has been my ego…  there is only one throne and that’s God's  …,78868,132235
In rap we have been developing a brotherhood…,7877,26115
There is so much positive energy right now …  Let’s stay on this Ultra Light Beam…,27525,47711
A wise man should be humble enough to admit when he’s wrong and change his mind based on new information…,82469,93972
Some rappers got the club … Some got the radio… some got the conscience…some got the streets… Everybody has something they do the best…,32373,51253
every rapper is somebody’s favorite…,26224,44957
that statement has’t been sitting well with me… That’s a dated mentality   ... I’m not on that …,5528,18021
Man, I was thinking about when I commented on the idea of "taking the rap throne” …,5559,16840
Just creating in a fun simple way with no politics…,4904,15992
Imagine if the people I named went to high school 2gthr and had a project to do for school…,4008,15290
all with one purpose of creating  beautiful product that can be attainable by everyone…,4500,14495
A dream of mine would be to do a project where I  work side by side with Raf Simmons,  Helmut Lang, Vanessa Beecroft and Martin Margiela,6409,20660
Stream THE LIFE OF PABLO on https://t.co/shjFIS65Ia,19658,38579
Hey Nicolas Ghesquiere I grew up on Tron too… Let’s be best friends!!!,3923,17032
I’d rather teachers got paid more and books cost less … #2020,75577,122859
We have to lower the price of textbooks…,71903,92428
Education puts Americans into debt before they even get a chance to get started…,156372,167884
Steve Jobs wanted to lower the cost of textbooks…,14371,39709
she’s giving everything she has to make sure her son has a better future…,8731,26380
I mean, his mom has to work 2 days just to afford 1 book for her son …,8046,24711
Her son just got in a really good school and his textbooks are like $400 dollars each …,8012,24869
I have a friend who works really hard and makes $370 dollars a day…,9218,27364
All positive energy,59612,54357
so many people were inspired  and that’s all I wanted…,8718,25495
MSG was amazing …,4164,17377
You let me dream without limits….,21986,31926
They provided resources for me to create… they supported me …  I thank you so so much  …,4356,19079
Adidas has really made all the difference …,8367,29293
Thank you Adidas  for supporting my creative vision …,8549,33077
Pablo is full of joy and love because I was able to create….,10572,29729
I hope these words and this moment of truth can serve as some extra motivation to you…,9549,24575
for anybody listening to Pablo now, working on a dream,12076,32340
so people laughed when I said I wanted to be able to take care of my family …,6024,18796
but if you don’t have your paper right, there's a chance that your family can be broken up,6352,16843
when Sway was telling me what to do, I was in debt, and had a child…,6514,17945
When Charlemagne was calling me "donkey of the day" I was in debt,6325,17163
I can see the clouds separating …,7872,17595
I’m  an artist…  the definition of art - or at least my definition - is to be able to see the truth and then express it...,16839,32855
I don’t have to be cool…,35146,36201
perhaps a fashion group will cover the 53 that I’ve invested over the past 13 years…,3752,13683
Perhaps Adidas will do some big Lebron style deal or  …,4301,15082
my dreams brought me into debt and I’m close to seeing the light of day…,6840,19325
this country was built off of dreamers …   never give up on your dreams, bro…,34865,46655
You can point fingers and laugh, but for all entrepreneurs with families  ...,5327,15748
I wanted the world to know my struggle…,7464,18280
Money doesn’t make me who I am…,15211,26146
You can’t control me or use the debt against me no more   …,5693,16716
For the past 3 years people who knew about the debt tried to use it against me in negotiations …,5559,17779
only problem I got with Good Fridays is I got more songs than I got old pictures!!!! Lol!!!!,13192,39105
Also all Good Fridays songs will be on Tidal. Me and Kendrick got 40 songs and me and Young Thug got 40 songs. 40/40 club!!!,31077,47546
Please to all my friends fans and music lovers. Sign up to Tidal now.,6619,19368
My album will never never never be on Apple. And it will never be for sale... You can only get it on Tidal.,34142,49203
This was made with love. Only God can judge me. So I only expect love back!!!,10774,24644
Shut the fuck up and enjoy the greatness.,126623,114950
Aight then …,13625,19876
Don't tell me Lebron had a bad game. What yo jump shot look like???,25030,37762
The system is designed for colored people to fail and one of our only voices is music. One of our only ways out is music.,31682,47615
I love love love white people but you don't understand what it means to be the great grandson of ex slaves and make it this far.,29996,62706
To Pitchfork, Rolling Stone, New York Times, and any other white publication. Please do not comment on black music anymore.,19842,36652
Puff Daddy is the most important cultural figure in my life. His influence means everything to me.,8926,24090
Pitchfork, the album is a 30 out of 10,17089,34542
People wanted me to tweet again well here's some tweets!!!,20480,47021
